data_num,trick_type,time,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2.0,1.0,3826392079.0,-2999.0,469.0,2047.0,-0.18,-3.42,9.62,0.05,-0.1,-0.03
2.0,1.0,3826378407.0,-3008.0,478.0,2051.0,-0.17,-3.41,9.6,0.05,-0.1,-0.03
2.0,1.0,3826364735.0,-2991.0,477.0,2023.0,-0.17,-3.41,9.61,0.05,-0.11,-0.03
2.0,1.0,3826351063.0,-3010.0,475.0,2050.0,-0.15,-3.41,9.61,0.05,-0.1,-0.03
2.0,1.0,3826337392.0,-3005.0,482.0,2023.0,-0.15,-3.39,9.61,0.05,-0.11,-0.03
2.0,1.0,3826323720.0,-3014.0,446.0,1983.0,-0.16,-3.41,9.6,0.05,-0.11,-0.03
2.0,1.0,3826310048.0,-3011.0,458.0,2005.0,-0.16,-3.42,9.62,0.05,-0.1,-0.02
2.0,1.0,3826296376.0,-3025.0,457.0,2002.0,-0.16,-3.42,9.62,0.05,-0.1,-0.02
2.0,1.0,3826282704.0,-3028.0,477.0,1996.0,-0.18,-3.42,9.62,0.05,-0.11,-0.03
2.0,1.0,3826269032.0,-3042.0,467.0,2026.0,-0.18,-3.43,9.6,0.05,-0.11,-0.03
2.0,1.0,3826255360.0,-3028.0,475.0,2026.0,-0.17,-3.42,9.61,0.05,-0.11,-0.03
2.0,1.0,3826241688.0,-3042.0,471.0,2066.0,-0.18,-3.42,9.61,0.05,-0.11,-0.03
2.0,1.0,3826228017.0,-3028.0,474.0,2014.0,-0.17,-3.42,9.62,0.05,-0.11,-0.03
2.0,1.0,3826214345.0,-3032.0,478.0,2005.0,-0.15,-3.41,9.61,0.05,-0.11,-0.03
2.0,1.0,3826200673.0,-2999.0,458.0,2047.0,-0.15,-3.4,9.61,0.05,-0.1,-0.03
2.0,1.0,3826187001.0,-3032.0,485.0,2016.0,-0.17,-3.41,9.62,0.05,-0.11,-0.03
2.0,1.0,3826173329.0,-3035.0,488.0,2041.0,-0.16,-3.42,9.62,0.05,-0.1,-0.03
2.0,1.0,3826159657.0,-3015.0,490.0,1973.0,-0.17,-3.41,9.6,0.05,-0.11,-0.03
